Date_,Units,Visits,Spend,Radio_flux,Sunspot_N,Sunspot_A,Proton_F_b1MeV,Proton_F_b10MeV,Proton_F_b100MeV,MEGAElectron_F_b06MeV,Electron_F_b2MeV,Neutron_M
14-Jan-09,68681,59913,186584.29,491,74,120,6110000,135000,30500,29340,19060000,699.7
21-Jan-09,62750,54776,163777.81,495,13,10,5570000,131000,29500,7660,447000,699.53
28-Jan-09,56099,49760,147559.96,488,0,0,5810000,132000,29600,21800,1016000,700.2
04-Feb-09,59495,52723,160947.05,485,0,0,5910000,137000,30200,20970,1069000,699.43
11-Feb-09,92694,74740,207625.82,491,11,10,1990000,138000,30600,54800,3226000,700.77
18-Feb-09,73303,61518,170471.24,491,22,20,8700000,137000,29800,151800,253357000,699.91
25-Feb-09,71551,59131,163879.23,492,26,30,8180000,134000,29500,74100,112300000,698.93
04-Mar-09,51946,44450,120122.46,487,12,10,10370000,134000,28800,41900,10980000,-3699.75
11-Mar-09,57326,50286,160732.97,482,24,40,8050000,136000,30500,31800,6640000,-396.95
18-Mar-09,63550,55629,177014.8,480,0,0,8130000,135000,29900,182300,416510000,698.76
25-Mar-09,60787,53813,165930.07,483,0,0,3750000,136000,30300,56000,86450000,697.73
01-Apr-09,62291,53635,166919.25,496,0,0,4460000,136000,31600,64800,43100000,701.21
08-Apr-09,59146,51601,164739.97,490,0,0,3870000,138000,31200,12080,12980000,701.02
15-Apr-09,50793,44692,136871.41,483,0,0,6830000,134000,29500,231100,651095000,700.45
22-Apr-09,52113,45924,138661.25,492,11,10,3530000,134000,29500,40800,32700000,686.29
29-Apr-09,48487,42860,130618.55,486,15,20,4350000,139000,30900,12650,9290000,697.44
06-May-09,64276,53967,164313.53,480,12,10,4410000,141000,31800,2310,1770000,700.66
13-May-09,72787,62484,177480.23,505,12,10,4370000,136000,30000,125300,81250000,700.38
20-May-09,62400,55028,161861.58,513,83,100,5650000,139000,30400,20100,12230000,698.64
27-May-09,57730,51390,151973.45,487,13,30,4650000,137000,30700,4940,2740000,701.6
03-Jun-09,59940,53536,160024.85,492,74,180,3960000,138000,31000,3040,686000,699.51
10-Jun-09,66922,59560,177486.07,486,54,70,3590000,137000,30200,2780,367000,698.62
17-Jun-09,61673,54995,165602.87,477,23,20,4800000,137000,31300,1046,327000,700.57
24-Jun-09,51187,45718,141011.15,472,62,140,5560000,137000,30800,295,309000,-1500.31
01-Jul-09,58798,51231,158614.34,474,0,0,4380000,136000,28800,82860,28192000,698.14
08-Jul-09,63580,56014,177045.26,489,129,860,6410000,138000,31800,124000,68000000,699.12
15-Jul-09,59624,52842,165333.36,474,28,290,5640000,141000,32200,34500,6580000,699.82
22-Jul-09,51683,46243,143233.21,472,0,0,5020000,143000,31800,101100,39249000,701.17
29-Jul-09,49278,44021,136118.64,478,0,0,10830000,136000,30400,253000,305000000,699.44
05-Aug-09,71530,61513,174313.12,472,0,0,16900000,140000,31900,57200,65170000,699.68
12-Aug-09,61803,55487,162676.32,470,0,0,13450000,132000,28500,47470,8027000,698.86
19-Aug-09,80074,67915,208100.57,474,0,0,8310000,143000,32000,38100,10350000,700.78
26-Aug-09,69082,60766,176815.97,470,0,0,8400000,141000,31400,104400,36920000,699.17
02-Sep-09,64165,56591,166629.85,476,24,20,6580000,139000,30500,37530,2936000,700.64
09-Sep-09,54584,48521,141884.7,482,0,0,5810000,137000,30500,31000,3060000,700.47
16-Sep-09,58189,51919,156569.94,483,0,0,5030000,138000,29700,7920,793000,698.51
23-Sep-09,68484,59852,199537.89,503,68,220,3650000,136000,29400,8240,446000,701.84
30-Sep-09,75128,63234,196728.23,508,118,390,5390000,142000,31800,14570,384000,697.3
07-Oct-09,60838,54269,171266.35,495,11,10,3140000,138000,30900,7980,335000,699.89
14-Oct-09,63542,56697,181948.26,489,0,0,2860000,138000,31400,1153,293000,700.62
21-Oct-09,61880,54338,173358.77,494,11,10,3680000,146000,32500,162,291000,701.94
28-Oct-09,59763,51784,162901.31,540,163,1100,3960000,140000,30100,53590,13805000,697.98
04-Nov-09,54378,48448,155439.73,513,32,700,6800000,138000,30600,50100,12770000,700.09
11-Nov-09,56847,50995,164500.46,501,80,100,4820000,139000,30500,19170,3739000,699.64
18-Nov-09,80146,65812,220358,526,63,50,3050000,141000,31600,3870,596000,697.22
25-Nov-09,68073,59394,179932.23,530,88,60,4270000,136000,29700,9200,524000,699.34
02-Dec-09,63315,56021,168567.41,509,0,0,2740000,140000,30800,31400,5490000,700.4
09-Dec-09,100992,83964,233886.03,504,13,10,3230000,141000,32400,7250,1611000,701.24
