date_,visits
14-Jan-09,534
21-Jan-09,507
28-Jan-09,525
04-Feb-09,466
11-Feb-09,705
18-Feb-09,681
25-Feb-09,612
04-Mar-09,569
11-Mar-09,487
18-Mar-09,639
25-Mar-09,641
01-Apr-09,618
08-Apr-09,481
15-Apr-09,446
22-Apr-09,562
29-Apr-09,549
06-May-09,647
13-May-09,715
20-May-09,591
27-May-09,606
03-Jun-09,631
10-Jun-09,607
17-Jun-09,582
24-Jun-09,507
01-Jul-09,570
08-Jul-09,570
15-Jul-09,577
22-Jul-09,520
29-Jul-09,487
05-Aug-09,553
12-Aug-09,581
19-Aug-09,805
26-Aug-09,683
02-Sep-09,594
09-Sep-09,544
16-Sep-09,602
23-Sep-09,643
30-Sep-09,674
07-Oct-09,579
14-Oct-09,582
21-Oct-09,581
28-Oct-09,574
04-Nov-09,544
11-Nov-09,549
18-Nov-09,629
25-Nov-09,595
02-Dec-09,565
09-Dec-09,867
16-Dec-09,631
23-Dec-09,557
30-Dec-09,650
06-Jan-10,698
13-Jan-10,656
20-Jan-10,581
27-Jan-10,623
03-Feb-10,673
10-Feb-10,667
17-Feb-10,557
24-Feb-10,572
03-Mar-10,836
10-Mar-10,632
17-Mar-10,343
24-Mar-10,597
31-Mar-10,535
07-Apr-10,550
14-Apr-10,526
21-Apr-10,580
28-Apr-10,670
05-May-10,752
12-May-10,747
19-May-10,853
26-May-10,547
02-Jun-10,575
09-Jun-10,589
16-Jun-10,696
23-Jun-10,664
30-Jun-10,571
07-Jul-10,585
14-Jul-10,662
21-Jul-10,512
28-Jul-10,503
04-Aug-10,892
11-Aug-10,607
18-Aug-10,606
25-Aug-10,681
01-Sep-10,646
08-Sep-10,667
15-Sep-10,611
22-Sep-10,646
29-Sep-10,544
06-Oct-10,544
13-Oct-10,624
20-Oct-10,646
27-Oct-10,551
03-Nov-10,633
10-Nov-10,559
17-Nov-10,512
24-Nov-10,585
01-Dec-10,556
08-Dec-10,696
15-Dec-10,628
22-Dec-10,625
29-Dec-10,566
05-Jan-11,675
12-Jan-11,647
19-Jan-11,674
26-Jan-11,575
02-Feb-11,718
09-Feb-11,743
16-Feb-11,751
23-Feb-11,661
02-Mar-11,668
09-Mar-11,628
16-Mar-11,648
23-Mar-11,626
30-Mar-11,707
06-Apr-11,687
13-Apr-11,645
20-Apr-11,595
27-Apr-11,603
04-May-11,659
11-May-11,699
18-May-11,714
25-May-11,668
01-Jun-11,615
08-Jun-11,652
15-Jun-11,576
22-Jun-11,642
29-Jun-11,623
06-Jul-11,658
13-Jul-11,637
20-Jul-11,637
27-Jul-11,667
03-Aug-11,745
10-Aug-11,549
17-Aug-11,594
24-Aug-11,586
31-Aug-11,500
07-Sep-11,591
14-Sep-11,581
21-Sep-11,618
28-Sep-11,572
05-Oct-11,554
12-Oct-11,624
19-Oct-11,533
26-Oct-11,500
02-Nov-11,573
09-Nov-11,547
16-Nov-11,572
23-Nov-11,709
30-Nov-11,584
07-Dec-11,797
14-Dec-11,710
21-Dec-11,695
28-Dec-11,568
04-Jan-12,669
